je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_max,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_retain,je_thp,je_trust_madvise,rss
true,17800,primary,22,18,52,always,465,34556,583,29093231,disabled,true,default,true,-0.6524248598421921
false,48327,primary,11,10,30,disabled,1837,23090,186,5489436,percpu,false,never,false,-3.362668059593023
false,11367,disabled,18,2,3,auto,1317,7244,42,10049339,phycpu,true,default,false,-1.8862840012458473
true,29389,secondary,7,26,78,always,1183,44485,443,24213832,disabled,false,never,true,2.9983875363372077
true,3280,primary,3,29,42,auto,1732,1488,317,13340381,percpu,true,always,true,8.066844243147841
false,36822,disabled,14,5,39,always,703,37784,557,19112112,phycpu,false,always,false,2.4384570961378724
false,22237,secondary,7,13,11,always,50,28585,339,32060553,phycpu,true,never,false,0.5686091933139521
true,43274,disabled,19,21,70,disabled,2317,16514,100,72444,disabled,false,default,true,-1.0625648878737532
true,8998,secondary,14,11,75,auto,1525,3186,427,3770291,disabled,false,never,false,-1.3510174418604655
false,25459,disabled,2,16,6,always,758,41898,27,30517698,percpu,true,default,true,40.52155250726744
false,15433,secondary,21,23,24,auto,295,26107,210,18562535,phycpu,false,always,true,1.7160539088455156
true,44396,disabled,9,3,57,disabled,2224,13183,609,15930262,percpu,true,always,false,4.506394699958472
true,19917,disabled,11,7,63,always,410,32639,155,21619712,percpu,false,default,false,2.5441399761212615
false,39393,secondary,23,28,18,disabled,2043,19098,393,10603122,phycpu,true,never,true,-2.9076580668604644
false,961,primary,4,20,35,auto,1410,9940,493,7036501,phycpu,false,default,true,-0.3662109375000012
true,32939,primary,16,15,46,disabled,938,47695,251,25391142,disabled,true,never,false,-1.4830415541943518
true,1898,disabled,8,25,20,disabled,1428,43742,528,26631014,percpu,false,always,true,1.9680005450581384
false,32412,secondary,20,1,61,always,995,4907,290,8287511,phycpu,true,always,false,4.256355767234221
false,20446,disabled,4,9,48,always,354,14464,106,11854130,percpu,false,never,false,14.83270283949335
true,38455,secondary,15,18,33,auto,2025,27511,348,22859587,disabled,true,default,true,-1.5860834977159464
true,12951,secondary,18,22,10,always,164,20453,172,15087830,disabled,false,default,true,0.26625441237541414
false,46505,disabled,6,14,72,auto,2130,34067,572,17700517,percpu,true,never,false,4.243089441445182
false,6890,primary,22,6,60,disabled,1618,49465,474,29655682,phycpu,false,default,false,-1.3454013963870435
true,27939,primary,10,30,21,auto,889,11638,75,2927857,disabled,true,never,true,-2.7909507371262468
true,24327,primary,5,4,36,always,107,24860,362,1323448,percpu,true,default,false,3.7502725290697665
true,48327,disabled,11,10,23,disabled,1837,17576,74,372992,percpu,false,never,false,-0.9926027823920258
false,45332,secondary,12,15,30,disabled,1417,20927,102,5489436,phycpu,false,never,false,-1.485192587209303
false,47718,primary,13,30,6,disabled,814,41401,237,4893029,percpu,false,default,true,-2.741204448712624
true,49565,primary,12,30,23,auto,764,9937,183,5636424,disabled,false,never,false,-1.5536557828073083
false,49295,primary,14,29,11,auto,1915,21674,381,8664913,disabled,false,default,false,-1.0562804973006643
false,48327,secondary,11,9,28,disabled,1294,23090,186,5489436,percpu,true,never,false,-2.5271328644102993
true,37061,disabled,18,16,38,disabled,1019,12975,527,17017240,phycpu,true,never,true,-1.126210158845515
false,48327,primary,11,2,30,always,1837,20645,77,1171676,percpu,false,default,true,1.6925936980897005
true,48327,primary,11,9,30,disabled,1830,23090,21,1197796,phycpu,false,never,true,-2.2113365604235886
true,5717,secondary,14,8,64,auto,1667,44034,640,17228713,percpu,true,always,true,6.2267701411960115
false,45750,primary,10,29,3,auto,1853,21674,324,5628825,phycpu,false,never,false,-2.0051780523255807
false,37751,primary,10,9,6,disabled,2113,29634,239,32413191,percpu,false,never,false,-1.340953332641197
true,44717,disabled,11,9,34,always,1837,23090,186,3352727,percpu,false,never,false,3.0467744237956795
false,48327,primary,11,9,30,disabled,726,17250,186,5489436,percpu,true,never,false,-1.420275513911959
false,44846,disabled,11,9,33,disabled,1830,23090,1,797263,percpu,true,never,false,-3.4322148826827226
false,48327,secondary,13,16,31,disabled,1837,23090,2,1257306,phycpu,true,default,false,-3.3710385953073088
false,6789,secondary,9,30,2,disabled,1857,28781,3,11320818,phycpu,false,never,false,-2.7797673120847186
true,44846,primary,6,9,33,disabled,1830,23090,1,499391,disabled,true,always,false,1.4768739617940219
false,44722,disabled,10,3,54,disabled,1820,22678,10,246756,percpu,true,always,false,2.6076068054402004
true,44846,primary,13,14,29,disabled,1470,18388,1,797263,percpu,true,default,true,-2.112784857765781
false,40899,disabled,11,16,32,disabled,1837,23090,2,351234,phycpu,true,never,true,-4.686413128114617
false,44798,disabled,13,16,32,disabled,1525,23090,2,241131,disabled,false,never,false,-3.7895556478405314
true,6855,secondary,11,21,34,disabled,1018,21249,1,10290496,percpu,false,never,true,-0.2772107298588043
true,49125,primary,15,29,80,always,843,5444,320,26927185,phycpu,false,never,false,1.5614909935631227
false,40239,disabled,11,16,30,disabled,1677,23090,2,2318,phycpu,true,never,true,-2.083938953488372
