je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_flush_large_div,je_lg_tcache_flush_small_div,je_lg_tcache_max,je_lg_tcache_nslots_mul,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_remote_free_max,je_remote_free_max_batch,je_retain,je_tcache_gc_delay_bytes,je_tcache_gc_incr_bytes,je_tcache_nslots_large,je_tcache_nslots_small_max,je_tcache_nslots_small_min,je_thp,je_trust_madvise,rss
true,28106,disabled,3,5,9,13,2,19,disabled,1943,47986,375,15130755,phycpu,18,13,false,11366,206369,69,170,25,default,false,29.503078929609618
false,1118,secondary,18,9,8,24,14,47,auto,361,22412,101,30902516,disabled,36,6,true,3279,18366,2,257,63,never,true,-1.2216310215946844
false,48040,disabled,8,13,3,5,11,62,always,1080,547,515,8236345,disabled,11,4,false,4555,145729,42,329,10,always,false,2.1130411648671097
true,24934,secondary,22,1,13,16,8,34,always,1448,26121,290,21808462,phycpu,59,11,true,12640,79064,30,244,49,never,true,1.3466342659883719
true,40636,primary,18,4,10,4,9,77,auto,820,33676,636,28084063,phycpu,56,10,true,7623,255417,79,123,20,always,true,4.294983518480069
false,17641,disabled,10,14,5,22,6,29,disabled,1783,8419,170,10350378,percpu,6,1,false,15726,76897,12,300,58,always,false,1.6628523411544835
false,33227,secondary,14,11,2,10,3,4,disabled,2206,17786,414,20433637,disabled,47,7,true,8296,196522,51,378,34,never,true,0.7735899865033224
true,6301,primary,6,7,16,28,15,53,auto,20,43043,62,434836,percpu,30,16,false,195,135733,40,200,73,default,false,-1.0697512198920258
true,45632,secondary,12,10,13,1,10,72,always,165,45627,239,17736682,disabled,50,3,true,6492,154655,74,316,36,always,false,4.41430582952658
false,19530,primary,20,6,4,19,5,24,always,2327,21664,568,4180892,phycpu,2,12,false,14839,100859,17,102,77,default,true,0.2698751557308966
false,28848,primary,5,2,7,9,4,9,auto,1626,6034,13,26603088,percpu,44,14,true,9459,219255,56,183,11,never,false,6.632747612126244
true,5065,disabled,13,14,9,28,14,57,disabled,640,29997,463,10782247,disabled,25,5,false,1114,36200,34,398,53,default,true,-0.3893369757059798
true,35604,primary,17,15,14,14,3,14,auto,1285,34430,132,4506680,disabled,22,8,false,10495,182528,64,278,2,default,true,-1.618154329318936
false,11736,secondary,2,5,1,25,13,43,always,904,10784,344,24489025,percpu,39,15,true,2132,119008,7,154,43,never,false,14.960110179609641
false,39912,disabled,24,8,6,8,12,67,disabled,498,13911,279,14649742,phycpu,13,9,false,5458,245142,46,223,26,always,true,2.153093204941861
true,13676,secondary,9,12,12,18,7,38,auto,2065,37556,527,32432635,percpu,63,2,true,13819,56451,24,345,68,always,false,5.137312474044848
true,38591,primary,15,2,1,23,12,22,disabled,1984,31500,51,29098015,phycpu,20,5,true,5073,209758,20,371,68,never,true,-0.3286051702657816
false,15583,secondary,7,13,15,13,7,74,auto,552,7464,436,9267304,percpu,33,10,false,13180,30397,71,210,31,default,false,-1.940747638081395
false,37408,disabled,19,9,11,17,2,59,always,1047,16837,181,19352997,disabled,11,13,true,11902,149062,31,129,44,never,true,-1.0975589181893683
true,10518,primary,11,5,6,6,13,7,disabled,1265,40873,615,1451474,percpu,57,6,false,3797,91032,59,289,6,always,false,3.0600342607973423
true,30175,secondary,7,7,4,22,5,45,auto,712,48550,301,16148419,percpu,53,8,false,8820,251069,10,335,53,default,false,1.522405782807308
false,3152,disabled,22,11,14,3,15,11,disabled,1525,24978,494,29822902,disabled,8,15,true,729,65824,61,233,16,always,true,3.3739942379568113
false,43834,secondary,3,15,9,30,10,36,always,2325,3107,90,7154297,percpu,45,10,false,8157,192231,21,165,78,default,false,24.60202969269103
true,20741,disabled,17,3,7,12,6,70,always,289,26679,396,22823440,phycpu,31,1,true,16246,124724,49,267,40,never,true,2.117716336171096
true,31997,primary,23,14,5,21,4,50,disabled,130,36990,543,5522294,disabled,50,13,false,9961,166626,5,217,71,always,true,1.1784319196428563
true,22900,disabled,7,3,16,1,4,33,disabled,1854,6133,97,1981184,disabled,36,16,false,12595,22635,27,234,1,default,false,0.7267733855897017
false,15583,secondary,9,13,15,13,7,74,disabled,552,7464,371,7270734,percpu,33,10,true,12000,30397,71,199,27,default,false,-1.1567788361710967
false,14419,disabled,7,13,15,12,7,74,auto,552,7464,436,8006246,percpu,31,10,false,10807,30397,69,210,31,default,true,-0.17822103405315556
true,15816,secondary,7,14,15,17,15,40,auto,46,16285,610,30923015,percpu,33,1,false,14291,46727,74,115,67,default,false,1.9443521594684383
false,13284,secondary,9,13,14,4,3,74,auto,409,7464,413,9267304,percpu,35,10,true,13180,17928,71,210,31,default,false,-0.7193469684385382
false,15583,secondary,7,9,11,16,7,71,auto,552,7464,436,7027338,percpu,33,10,false,13180,30397,69,210,32,default,true,-2.3882046823089698
true,13450,secondary,6,3,12,15,7,69,disabled,552,4295,436,9267304,percpu,33,8,false,13180,30397,71,210,31,default,false,1.4155127439784057
true,15583,secondary,5,13,10,15,7,74,auto,367,7464,436,6129184,phycpu,33,6,true,12677,30397,58,210,22,never,true,5.228736243770763
false,15583,secondary,6,9,10,19,8,72,auto,350,7464,436,7027338,percpu,33,10,false,12272,30397,65,198,32,default,false,0.1549879308554818
false,9324,secondary,7,15,11,17,9,71,auto,552,7464,436,5475528,percpu,32,10,true,13180,20079,70,210,32,default,true,-2.2889846345514946
false,15583,secondary,7,8,11,15,7,74,auto,350,7464,436,7752105,phycpu,33,10,false,13180,25891,70,200,14,default,true,-2.3388736762873754
false,30220,secondary,3,16,11,19,10,11,always,2039,45290,113,20814891,percpu,40,15,false,1792,133042,21,111,49,always,true,32.28836819975084
false,36056,primary,7,14,5,16,2,80,always,2096,16789,355,4635195,phycpu,22,16,false,13616,16767,68,175,62,never,true,0.9971806218853824
false,15583,secondary,7,9,11,8,7,67,auto,416,3887,436,7027338,phycpu,34,10,true,13180,22978,69,210,32,default,true,-1.1293701982973423
false,14241,secondary,7,15,11,16,7,71,auto,402,5048,436,7027338,disabled,26,8,false,13180,25899,69,210,34,never,true,-1.360027123131229
true,15583,secondary,7,2,11,15,8,71,auto,552,1594,436,7027338,percpu,28,10,true,13180,28340,70,145,29,default,true,-0.9748981260382058
true,15583,disabled,7,13,11,17,7,74,auto,350,7464,410,1204152,phycpu,33,10,false,9688,25891,69,200,14,default,true,-1.1014749013704317
false,9324,primary,6,10,10,17,9,71,auto,552,7464,436,5475528,percpu,32,11,false,13180,20079,69,167,32,never,true,-1.739952112749169
false,9788,secondary,8,9,15,18,7,73,auto,552,7464,404,4399294,phycpu,33,13,true,13180,21240,70,113,31,default,true,-0.7378692120016614
false,15583,secondary,7,9,11,16,12,74,auto,552,5599,354,5480978,disabled,23,13,false,13180,24470,70,210,32,always,true,1.591777408637874
false,15583,secondary,6,7,14,15,7,68,auto,97,7464,436,9267304,percpu,32,9,false,12583,25089,71,210,11,default,true,-0.09183256333056465
false,14419,secondary,11,9,11,15,7,73,auto,552,7464,436,8006246,percpu,41,15,false,9287,30397,68,203,33,default,true,-2.1212235257475083
false,15583,primary,7,9,12,16,3,71,auto,552,2989,436,7027338,percpu,33,10,true,13180,30397,71,210,35,never,true,-2.3646244289867115
true,39173,secondary,14,3,9,8,7,76,auto,678,25011,526,4321384,percpu,38,12,true,3635,205743,1,116,12,default,false,-0.3238748442691032
false,15583,secondary,9,9,15,14,6,71,auto,552,7464,436,966450,percpu,33,10,true,10395,30397,69,193,33,default,false,-2.750418526785714
false,9324,secondary,6,7,15,17,9,71,always,552,4091,436,879736,disabled,32,4,true,13180,20079,69,110,34,default,false,-0.8908585963455147
false,37787,disabled,14,9,13,22,13,47,auto,2312,3520,553,880053,percpu,38,11,false,10731,191890,80,158,16,never,false,-2.3138691341362123
false,27037,disabled,6,10,11,16,2,22,auto,1317,1854,571,281793,percpu,59,10,true,10892,44030,77,362,75,default,true,-2.4548283066860472
false,15583,disabled,6,11,16,16,7,70,auto,276,4193,436,859631,percpu,33,10,true,10346,30397,68,191,31,default,true,-3.456638678363788
false,15583,disabled,6,11,16,16,4,70,disabled,185,4193,407,177347,disabled,37,10,true,10346,30397,68,178,32,never,true,-2.879237178156145
false,12167,primary,9,12,16,15,8,71,disabled,158,7464,436,825862,percpu,33,10,false,10395,30397,69,193,31,never,false,-3.358151863579735
true,15583,primary,6,12,16,16,7,61,disabled,276,4193,436,859631,disabled,33,10,true,10346,21843,70,176,31,always,false,2.1835191289451825
true,43705,secondary,15,10,14,15,2,47,always,2321,35092,115,33277088,percpu,8,4,false,13833,185854,23,226,16,never,false,1.3071078176910282
false,9614,disabled,6,11,16,16,7,70,auto,46,858,436,707206,disabled,32,8,true,10346,30397,63,172,31,always,false,0.9870710911544839
true,15583,primary,8,1,16,7,7,70,auto,276,1443,436,498460,phycpu,33,11,true,10346,30397,70,177,31,default,true,-1.8886783637873752
false,13608,disabled,9,13,16,16,9,63,auto,93,4193,367,382049,phycpu,37,10,false,9009,30397,68,178,27,never,false,-2.245688200789036
true,13815,disabled,6,11,16,16,7,74,always,119,2489,413,859631,percpu,31,10,true,7817,30397,68,191,31,never,false,2.521708238164453
false,8261,disabled,9,11,16,16,6,71,disabled,104,3607,436,68929,disabled,34,10,true,10395,30397,66,193,23,never,false,-2.428126946636212
false,11877,secondary,6,11,16,17,3,72,auto,6,7464,349,850780,percpu,33,9,true,10395,30397,69,193,11,default,true,-3.7799360205564776
false,15583,secondary,5,9,11,12,7,72,always,8,7464,436,850295,percpu,34,12,false,10759,30397,68,189,32,always,true,1.4501498909883717
false,7868,secondary,9,10,14,15,5,71,disabled,158,7464,386,837089,percpu,32,10,false,9217,30397,62,158,10,never,true,-2.471407158430233
false,1538,disabled,5,6,16,1,5,72,disabled,3,7464,418,850149,disabled,27,10,false,9293,30397,69,184,19,never,true,0.37862074335548274
true,11944,disabled,22,9,1,28,13,60,auto,1965,21188,252,12695863,phycpu,9,14,false,5767,48437,47,212,10,never,true,-1.2822200737126246
true,11335,secondary,6,11,9,1,7,67,disabled,3,2367,385,756347,percpu,41,9,true,10346,29368,68,179,30,never,true,0.04451632578903786
true,17981,secondary,3,2,2,7,15,80,always,590,46445,237,18924898,disabled,44,7,true,12398,233832,26,192,19,default,true,30.834730585548172
false,12167,secondary,6,12,11,20,8,71,always,158,3213,356,855856,phycpu,33,12,false,9413,30397,62,191,31,default,true,2.5548140313538203
false,7251,disabled,6,8,16,17,3,72,disabled,63,378,305,850780,percpu,33,9,true,10395,30397,69,193,11,never,false,-2.7737489617940203
false,8261,disabled,6,12,16,18,3,64,auto,6,3607,360,845866,percpu,27,10,true,10395,17081,68,193,7,default,true,-1.7876155004152818
false,23131,secondary,8,4,16,24,6,61,disabled,1767,18906,399,32285414,percpu,46,9,false,5274,192523,23,231,23,always,true,2.0538926235465116
false,11877,secondary,4,11,16,17,8,72,auto,7,4726,312,850780,percpu,33,14,false,10395,30397,69,164,10,default,true,-1.4885537790697678
false,12167,secondary,4,15,16,17,6,68,auto,4,7464,268,825862,percpu,33,9,false,8629,30397,69,193,31,default,true,-0.48847266922757604
false,10857,secondary,7,14,9,14,10,73,disabled,422,7464,436,477893,phycpu,33,11,true,10395,22281,70,193,26,default,true,-1.0197388911960132
true,46724,primary,7,9,9,8,16,50,auto,1728,38634,129,16766690,percpu,33,3,true,2076,241103,57,181,75,always,false,6.55214065095515
false,9324,disabled,4,7,16,21,4,70,disabled,6,7464,380,166761,disabled,34,9,false,13180,29681,66,155,32,default,true,-1.796764690614619
false,1803,secondary,11,5,16,19,2,22,auto,849,33210,374,9245973,phycpu,9,3,true,2677,31432,56,262,56,never,true,-0.5875240085132891
false,11943,disabled,6,11,14,16,1,70,auto,5,4193,370,838109,phycpu,36,7,true,9862,30397,69,143,30,default,false,-3.757812499999998
false,11877,primary,6,11,16,8,1,58,auto,6,7464,315,600528,percpu,27,5,true,9676,30397,67,185,8,never,true,-1.9219171771179417
false,7651,disabled,5,12,16,13,3,70,auto,13,4193,313,855628,percpu,33,4,true,9812,30397,68,146,30,default,true,-1.7978028965946846
false,12167,primary,9,12,16,15,1,72,disabled,6,7464,389,197210,percpu,33,10,false,10395,29201,69,142,31,never,true,-0.6145822518687692
false,11819,primary,20,12,5,10,1,58,auto,1977,44196,446,817048,phycpu,42,3,true,10692,29819,69,377,12,default,true,-1.5133506800249166
false,11877,secondary,10,11,16,21,7,71,auto,6,1346,260,300494,percpu,33,11,true,8686,30397,69,193,11,never,true,-2.890780730897012
true,11877,primary,8,11,16,16,3,73,auto,6,7464,344,850780,percpu,33,9,true,10395,30397,65,193,5,default,false,-1.0873682776162799
false,11943,disabled,5,11,10,17,1,71,disabled,5,4193,370,958124,phycpu,27,4,true,9862,30397,70,140,5,default,true,-1.7372787323504983
false,9202,secondary,6,10,16,17,1,26,auto,6,48392,334,850225,percpu,3,8,true,10621,33795,68,363,57,default,false,-2.5837799781976765
false,9638,secondary,6,11,8,15,6,72,auto,30,5592,349,850780,phycpu,36,7,true,10395,30397,71,193,11,default,true,-4.195244367732559
false,10584,disabled,4,13,8,13,1,66,always,12,5092,291,850780,percpu,36,5,true,10395,30397,69,193,9,never,true,2.6549522425249164
false,14206,secondary,6,11,2,16,5,70,auto,14,4193,287,277327,phycpu,37,9,true,10346,30397,71,191,31,default,false,-2.239050171303986
false,10720,secondary,6,11,16,14,6,72,auto,5,788,244,850780,percpu,33,3,true,8894,30397,69,177,12,default,false,-1.7481701619601338
false,7147,secondary,6,11,8,3,6,72,auto,32,5592,349,519791,phycpu,35,7,true,10395,30397,67,131,11,never,true,-2.2801079734219267
false,9638,disabled,6,11,8,15,2,73,auto,30,66,328,850780,percpu,36,2,true,6047,30397,74,193,11,default,false,-2.811189264950167
false,4268,secondary,6,11,3,22,8,72,auto,6,5344,349,498027,percpu,36,9,true,9174,30397,71,193,11,default,true,-3.3608998650332222
false,1938,primary,2,9,5,2,5,56,disabled,497,32602,263,6038722,disabled,64,13,true,12000,33240,10,222,38,always,true,8.397104054194356
false,12114,primary,6,10,7,17,7,71,disabled,430,5878,277,749628,phycpu,37,7,true,10395,30397,69,193,25,default,false,-2.938982687915282
true,7011,primary,5,4,2,15,6,70,disabled,30,5592,244,850780,phycpu,36,5,true,10395,30397,73,176,11,default,true,-0.07497469372923538
false,9638,secondary,8,11,4,15,10,72,disabled,30,5592,349,850780,percpu,36,7,true,9914,30397,66,193,8,never,false,-1.1081064420681064
