je_background_thread,je_cache_oblivious,je_dirty_decay_ms,je_dss,je_lg_extent_max_active_fit,je_lg_tcache_flush_large_div,je_lg_tcache_flush_small_div,je_lg_tcache_max,je_lg_tcache_nslots_mul,je_max_background_threads,je_metadata_thp,je_mutex_max_spin,je_muzzy_decay_ms,je_narenas,je_oversize_threshold,je_percpu_arena,je_remote_free_max,je_remote_free_max_batch,je_retain,je_tcache,je_tcache_gc_delay_bytes,je_tcache_gc_incr_bytes,je_tcache_nslots_large,je_tcache_nslots_small_max,je_tcache_nslots_small_min,je_thp,je_trust_madvise,rss
false,false,14082,primary,20,12,16,8,8,36,disabled,742,19857,558,3496039,percpu,15,6,false,true,6413,195621,74,144,5,always,true,15788.08203
true,true,49059,disabled,8,2,2,21,11,73,auto,1559,35176,264,27822154,disabled,45,14,true,false,11921,34786,24,361,69,default,false,15922.04688
true,false,8471,secondary,5,8,11,25,14,57,always,2380,6917,427,20106060,phycpu,59,4,true,true,3628,92180,49,199,38,always,true,16731.60938
false,true,29751,disabled,17,13,7,5,3,15,always,194,47432,73,11475813,disabled,25,11,false,false,14774,238546,19,305,54,never,false,15887.50781
false,false,43217,disabled,15,9,9,28,16,67,always,413,4771,195,15072822,percpu,18,10,true,true,5621,146211,51,263,47,default,true,15922.54297
true,true,21570,secondary,1,4,7,2,4,25,always,1826,39428,630,24653337,phycpu,50,3,false,false,8809,61156,3,233,21,never,false,17423.22656
true,false,37158,primary,12,5,13,12,5,6,disabled,1436,18492,142,31616283,disabled,37,15,false,true,722,127251,66,395,71,never,true,15888.08594
false,true,2547,secondary,21,15,3,18,9,43,auto,1055,27953,356,8371508,phycpu,8,7,true,false,13648,226516,38,101,18,default,false,15832.72266
false,false,33400,secondary,9,14,9,27,15,18,auto,888,42932,111,17403418,percpu,61,12,true,true,4946,62823,62,280,28,always,false,16011.64844
true,true,4728,disabled,18,7,8,3,3,54,disabled,1724,2049,385,9723445,phycpu,31,5,false,false,9420,163986,31,215,42,default,true,15820.71875
true,false,39154,secondary,18,3,14,14,6,75,always,2217,30676,225,924983,disabled,10,13,false,true,1143,204663,57,372,11,always,false,15796.79297
false,true,24081,primary,4,11,4,16,10,34,always,49,14988,599,26463512,phycpu,44,5,true,false,13291,121506,6,123,76,never,true,15916.92188
false,false,12180,disabled,3,14,15,11,8,46,disabled,547,32429,477,31008843,percpu,35,8,false,true,8104,29673,44,164,64,default,false,15834.21875
true,true,27619,primary,14,6,2,19,12,4,auto,1979,23384,22,4520038,disabled,3,16,true,false,10294,174096,15,341,9,never,true,15725.82422
true,false,18194,disabled,23,3,10,23,12,27,auto,1281,43904,508,14596968,phycpu,24,2,true,true,2191,255993,79,184,59,always,false,15982.41797
false,true,46499,secondary,11,10,6,7,2,64,disabled,918,9664,313,21195593,percpu,53,9,false,false,16147,93216,30,321,35,default,true,15831.81641
false,false,3964,primary,15,7,2,24,4,23,disabled,327,25234,175,8706718,percpu,57,12,true,true,9813,138597,26,330,66,never,true,15834.17188
true,true,32709,secondary,7,15,16,8,14,70,auto,1912,15724,609,18418353,disabled,27,5,false,false,4553,222609,77,175,2,default,false,15908.16016
true,false,23283,disabled,7,10,6,11,10,41,auto,1355,39053,121,25381299,phycpu,13,11,false,true,12660,149877,11,313,52,default,true,15900.83203
false,true,38283,secondary,21,4,12,21,6,10,disabled,1136,4346,336,2005404,disabled,47,4,true,false,1774,49569,43,192,37,never,false,15722.0625
false,false,25209,secondary,22,7,7,15,12,71,always,660,49407,538,5536975,percpu,39,1,false,true,10925,80487,10,227,24,always,true,15807.35547
true,true,9795,disabled,11,13,9,17,8,39,always,1642,8843,244,29994210,phycpu,6,9,true,false,7473,242319,59,269,50,never,false,15932.76172
true,false,44221,primary,2,11,3,28,1,13,disabled,2293,36370,407,22278116,disabled,20,8,true,true,15754,191607,35,130,20,always,true,21345.03906
false,true,15891,disabled,14,2,13,5,13,60,auto,281,21002,53,13516749,percpu,48,15,false,false,2584,46240,64,364,73,default,false,15828.62891
false,false,48307,disabled,5,5,8,14,11,2,auto,480,12371,458,28839139,percpu,12,3,false,true,11274,252205,39,242,43,always,false,15943.55078
true,false,1557,disabled,13,7,6,23,4,3,auto,307,10541,520,1540725,percpu,47,16,false,false,9828,20711,45,169,32,never,true,15722.94922
true,false,44735,secondary,8,4,16,13,14,14,disabled,1957,15298,407,1056846,phycpu,6,16,true,false,4589,47794,56,282,23,always,true,15843.89844
false,true,2015,secondary,22,15,16,13,7,4,always,1236,42458,324,8627144,disabled,52,16,false,true,1172,25810,53,232,30,never,false,15889.01562
true,true,27960,secondary,13,13,9,22,5,7,disabled,774,2054,299,1206285,percpu,38,16,false,true,2801,21315,23,187,27,always,false,15833.88672
false,false,937,primary,18,8,13,27,15,40,disabled,128,1867,562,1375811,disabled,41,7,true,false,9622,43814,47,364,74,always,true,15785.09375
false,false,11902,disabled,4,14,8,21,15,18,auto,939,1778,517,4345128,disabled,4,3,true,false,5673,201164,24,129,63,never,false,15723.19141
true,true,14844,secondary,6,3,15,6,6,11,auto,2335,1006,435,2695212,phycpu,5,8,false,true,2100,217984,6,164,14,never,true,15717.30078
true,true,2470,secondary,6,3,5,8,6,28,auto,999,823,476,4129983,phycpu,2,2,false,true,369,213721,8,253,55,never,false,15738.78125
true,false,8341,secondary,11,1,5,23,9,62,disabled,1523,30059,42,12114906,percpu,27,9,false,false,9469,123513,33,148,2,never,true,15823.20312
false,true,14844,secondary,3,3,15,6,6,11,always,2132,656,435,1723086,disabled,5,8,true,true,735,217984,6,146,18,default,true,15796.5625
false,false,47875,secondary,22,4,4,19,8,15,always,2067,290,522,1422816,phycpu,50,10,true,false,3808,213483,45,133,12,never,true,15754.58203
false,false,29724,secondary,5,8,8,21,9,28,auto,400,1571,624,4177725,disabled,5,6,false,true,11846,144250,24,168,10,never,false,15725.00781
true,true,47693,secondary,9,11,3,17,4,77,always,1908,16443,637,30464422,percpu,30,11,true,false,15921,57482,56,356,67,always,true,16043.72266
true,false,36881,secondary,6,3,10,2,8,11,auto,146,6982,89,2195736,percpu,40,4,false,false,3221,244171,1,101,78,never,false,15851.95703
true,false,22121,secondary,9,16,11,3,12,74,disabled,1179,838,365,27415435,phycpu,20,16,true,false,6983,181136,46,147,40,always,true,15996.09375
true,false,18488,primary,15,13,14,27,10,8,auto,1115,1732,527,1963516,phycpu,3,9,true,true,16001,18700,73,114,45,never,false,15841.71875
false,false,18150,primary,19,16,16,3,12,4,disabled,2257,12868,164,3109326,phycpu,51,6,true,false,12074,220017,73,242,53,never,false,15710.86719
false,true,18150,primary,20,16,16,3,1,4,disabled,2257,11464,164,3109326,phycpu,49,5,false,false,10201,220017,73,242,53,never,true,15722.31641
false,true,19710,disabled,3,11,8,18,11,12,auto,525,3242,127,2949773,percpu,53,16,false,true,15687,54719,72,311,5,never,false,15730.23828
true,false,4988,disabled,24,14,7,7,2,4,auto,2341,20470,239,3936570,disabled,52,8,true,false,6318,35768,8,157,41,never,false,15720.63281
true,false,26520,primary,13,14,3,22,7,68,auto,881,28420,467,30123716,disabled,53,5,false,false,11245,125136,39,146,20,default,true,15851.45312
false,false,14844,primary,9,15,16,1,14,11,disabled,2244,1800,298,2695212,disabled,5,8,false,true,2100,217984,10,164,7,never,false,15711.34375
false,false,19710,primary,2,16,14,4,12,12,auto,525,573,127,2949773,disabled,49,8,false,false,14966,54719,72,290,5,never,true,15717.67578
false,true,18150,disabled,23,14,16,3,1,4,always,2257,11464,109,2923645,phycpu,44,6,false,false,7680,206148,73,242,47,never,false,15777.64844
true,true,12321,secondary,2,12,7,30,4,44,auto,561,39071,266,29138995,disabled,18,10,true,true,341,207420,3,358,51,default,false,16671.00781
